DigitalCode;LetterCode;Units;Currency;Rate
36;AUD;1;Австралийский доллар;53,9782
944;AZN;1;Азербайджанский манат;48,1746
12;DZD;100;Алжирских динаров;63,2473
51;AMD;100;Армянских драмов;21,3964
764;THB;10;Батов;25,2488
48;BHD;1;Бахрейнский динар;217,7639
933;BYN;1;Белорусский рубль;27,2481
975;BGN;1;Болгарский лев;49,2178
68;BOB;1;Боливиано;11,8519
986;BRL;1;Бразильский реал;15,3233
410;KRW;1000;Вон;58,2482
344;HKD;1;Гонконгский доллар;10,5429
980;UAH;10;Гривен;19,8641
208;DKK;1;Датская крона;12,8919
784;AED;1;Дирхам ОАЭ;22,3
840;USD;1;Доллар США;81,8969
704;VND;10000;Донгов;32,5478
978;EUR;1;Евро;96,0525
818;EGP;10;Египетских фунтов;17,1468
985;PLN;1;Злотый;22,5904
392;JPY;100;Иен;55,5912
356;INR;100;Индийских рупий;92,2496
364;IRR;100000;Иранских риалов;14,0785
124;CAD;1;Канадский доллар;58,6528
634;QAR;1;Катарский риал;22,4991
192;CUP;10;Кубинских песо;34,1237
104;MMK;1000;Кьятов;38,9985
981;GEL;1;Лари;30,0396
498;MDL;10;Молдавских леев;49,0453
566;NGN;1000;Найр;56,2774
554;NZD;1;Новозеландский доллар;47,6681
934;TMT;1;Новый туркменский манат;23,3991
578;NOK;10;Норвежских крон;82,451
512;OMR;1;Оманский риал;212,9958
946;RON;1;Румынский лей;18,8925
360;IDR;10000;Рупий;49,2998
710;ZAR;10;Рэндов;47,4789
682;SAR;1;Саудовский риял;21,8392
960;XDR;1;СДР (специальные права заимствования);112,3928
941;RSD;100;Сербских динаров;81,9165
702;SGD;1;Сингапурский доллар;63,5007
417;KGS;100;Сомов;93,6611
972;TJS;10;Сомони;87,9043
50;BDT;100;Так;67,2014
398;KZT;100;Тенге;14,9731
496;MNT;1000;Тугриков;22,7871
949;TRY;10;Турецких лир;19,703
860;UZS;10000;Узбекских сумов;67,685
348;HUF;100;Форинтов;24,7296
826;GBP;1;Фунт стерлингов;109,9138
203;CZK;10;Чешских крон;39,5962
752;SEK;10;Шведских крон;87,4907
756;CHF;1;Швейцарский франк;102,8856
230;ETB;100;Эфиопских быров;56,4706
156;CNY;1;Юань;11,4165
